"From","To","weight"
"Glennan S","Rosenberg A",2
"Glennan S","Kaplan Dm",1
"Glennan S","Glennan S",1
"Glennan S","Bechtel W",1
"Slowik E","Rynasiewicz R",1
"Darden L","Hardcastle Vg",1
"Darden L","Waters Ck",2
"Darden L","Darden L",2
"Darden L","Robinson Jd",1
"Darden L","Kitcher P",2
"Darden L","Douglas He",1
"Darden L","Machamer P",10
"Darden L","Rosenberg A",2
"Darden L","Stephens C",1
"Darden L","Jones T",1
"Darden L","Tabery Jg",1
"Darden L","Woodward J",2
"Darden L","Wilson Ra",1
"Darden L","Mitchell Sd",1
"Darden L","Kincaid H",4
"Darden L","Vance Re",1
"Darden L","Boorse C",2
"Darden L","Schaffner Kf",9
"Darden L","Griesemer J",2
"Darden L","Barnes E",1
"Darden L","Thagard P",2
"Darden L","Skipper Ra",1
"Darden L","Trout Jd",2
"Darden L","Richardson Rc",3
"Darden L","Wimsatt Wc",2
"Darden L","Mccauley Rn",1
"Darden L","Bechtel W",2
"Darden L","Salmon Wc",2
"Darden L","De Regt Hw",2
"Darden L","Walsh Dm",1
"Rynasiewicz R","Leeds S",1
"Butler K","Saidel E",1
"Butler K","Wilson Ra",1
"Butler K","Waters Ck",1
"Kelly Kt","Kadane Jb",1
"Kelly Kt","Jeffrey Rc",1
"Kelly Kt","Hellman G",1
"Kelly Kt","Maher P",1
"Kelly Kt","Kelly Kt",1
"Kelly Kt","Norton Jd",1
"Kelly Kt","Juhl C",1
"Kelly Kt","Howson C",1
"Rescher N","Trout Jd",2
"Rescher N","Jeffrey Rc",1
"Rescher N","Norton Jd",1
"Rescher N","Glymour C",1
"Rescher N","Milne P",1
"Rescher N","Crupi V",1
"Rescher N","Hawthorne J",2
"Rescher N","Rescher N",1
"Rescher N","Fitelson B",5
"Rescher N","Maher P",1
"Rescher N","Williams Mb",2
"Rescher N","Finch Ha",1
"Rescher N","Gaa J",1
"Rescher N","Huber F",1
"Rescher N","Salmon Wc",2
"Rescher N","Machamer P",2
"Rescher N","Angel Rb",2
"Feyerabepk","Maxwell N",2
"Feyerabepk","Feyerabend Pk",1
"Weber M","Glymour B",3
"Weber M","Stamos Dn",3
"Weber M","Waters Ck",1
"Weber M","Weber M",1
"Weber M","Machamer P",3
"Weber M","Woodward J",1
"Weber M","Rosenberg A",4
"Weber M","Brandon Rn",3
"Weber M","Horan Bl",3
"Weber M","Graves L",5
"Weber M","Stephens C",1
"Weber M","Mitchell Sd",2
"Weber M","Walsh Dm",1
"Churchland Ps","Libet B",3
"Churchland Ps","Hoy Rc",2
"Churchland Ps","Churchland Ps",1
"Barnes E","Hardcastle Vg",1
"Barnes E","Jones T",1
"Barnes E","Kitcher P",2
"Barnes E","Salmon Wc",2
"Cummins R","Tabery Jg",1
"Cummins R","Machamer P",1
"Cummins R","Amundson R",1
"Wright L","Neander K",1
"Wright L","Ringen J",1
"Wright L","Wright L",1
"Wright L","Ringen Jd",3
"Wright L","Nissen L",1
"Wright L","Millikan Rg",1
"Wright L","Ruse Me",4
"Wright L","Porpora Dv",2
"Wright L","Munson R",2
"Temple D","Lipton P",1
"Temple D","Horan Bl",1
"Stich Sp","Corcoran J",1
"Stich Sp","Thagard P",2
"Frankel H","Madden Eh",2
"Frankel H","Harre R",1
"Frankel H","Hochberg H",1
"Frankel H","Woller R",1
"Goodwin W","Delehanty M",1
"Knuuttila T","Giere Rn",1
"Knuuttila T","Da Costa N",1
"Knuuttila T","Suarez M",1
"Knuuttila T","Plutynski A",1
"Knuuttila T","Trout Jd",1
"Kitts Db","Earman J",1
"Kitts Db","Stanford Pk",2
"Kitts Db","Kitcher P",3
"Callender C","Arntzenius F",1
"Callender C","Hemmo M",1
"Weston T","Psillos S",1
"Weston T","Nola R",1
"Mclaughlin R","Dorling J",1
"Bouchard F","Okasha S",1
"Bouchard F","Griesemer J",1
"Bouchard F","Potochnik A",1
"Choi Sh","Bigelow J",1
"Choi Sh","Hitchcock Cr",1
"Choi Sh","Salmon Wc",1
"Downes Sm","Solomon M",1
"Downes Sm","Kitcher P",1
"Hofer-Szabo G","Uffink J",1
"Park Jl","Suppes P",2
"Park Jl","Park Jl",1
"Hatfield G","Bechtel W",1
"Goosens Wk","Schaffner Kf",1
"Brown Jr","Mcallister Jw",1
"Brown Jr","Gendler Ts",1
"Brown Jr","Norton Jd",2
"Enfield P","Leplin J",1
"Enfield P","Shapere D",3
"Pincock C","Giere Rn",1
"Kimbrough So","Kitcher P",1
"Kimbrough So","Richardson Rc",1
"Healey R","Healey R",1
"Healey R","Maudlin T",4
"Healey R","Leeds S",2
"Healey R","Belot G",1
"Rueger A","Batterman Rw",1
"Rueger A","Belot G",1
"Rueger A","Gelfert A",1
"Rueger A","Woodward J",1
"Veatch H","Riepe D",1
"Gellner E","Gellner E",3
"Gellner E","Needham R",6
"Schaffnekf","Causey Rl",1
"Worrall J","Hudson Rg",1
"Worrall J","Magnus Pd",1
"Worrall J","Staley Kw",1
"Worrall J","Kitcher P",1
"Worrall J","Newman M",1
"Worrall J","Vickers P",1
"Griesemer J","Sarkar S",1
"Griesemer J","Waters Ck",1
"Griesemer J","Kitcher P",1
"Griesemer J","Machamer P",1
"Griesemer J","Woodward J",2
"Griesemer J","Sterelny K",1
"Griesemer J","Wimsatt Wc",1
"Griesemer J","Potochnik A",1
"Griesemer J","Okasha S",2
"Griesemer J","Wilson Ra",1
"Shapiro La","Polger Tw",1
"Shapiro La","Richardson Rc",1
"Shapiro La","Morton P",1
"Shapiro La","Kitcher P",1
"Shapiro La","Bechtel W",1
"Hausman D","Hesslow G",1
"Mccarthy T","Jobe Ek",1
"Mccarthy T","Cupples B",2
"Mccarthy T","Kaplan D",1
"Mccarthy T","Glymour C",1
"Mccarthy T","Kitcher P",1
"Erlichson H","Laymon R",1
"Howson C","Kadane Jb",1
"Howson C","Norton Jd",1
"Howson C","Hellman G",1
"Howson C","Grunbaum A",1
"Howson C","Maher P",2
"Howson C","Spanos A",1
"Sharp Dh","Krips Hp",1
"Sharp Dh","Putnam H",2
"Jack H","Madden Eh",1
"Rudner R","Schaffner Kf",1
"Rudner R","Maxwell N",1
"Rudner R","Rozeboom Ww",1
"Rudner R","Ackermann R",2
"Rudner R","Bunge M",1
"Rudner R","Goodman N",1
"Richardson Rc","Schaffner Kf",7
"Richardson Rc","Kitcher P",8
"Richardson Rc","Kincaid H",1
"Richardson Rc","Richardson Rc",3
"Richardson Rc","Miller Rw",1
"Richardson Rc","Bickle J",1
"Richardson Rc","Bechtel W",6
"Richardson Rc","Nelson A",1
"Hale Sc","Horgan T",1
"Cohen L","Sharp Wd",1
"Cohen L","Suppes P",1
"Cohen L","Mermin Nd",1
"Arntzenius F","Hemmo M",1
"Arntzenius F","Leeds S",1
"Madden Eh","Madden Eh",3
"Madden Eh","Harre R",1
"Madden Eh","Fisk M",3
"Fales E","Currie G",1
"Saatsi J","Kitcher P",1
"Saatsi J","Machamer P",1
"Hooker Ca","Suchting Wa",1
"Hooker Ca","Hooker Ca",15
"Jeffrey Rc","Giere Rn",2
"Jeffrey Rc","Brown Mj",1
"Jeffrey Rc","Gaa J",1
"Jeffrey Rc","Steel D",2
"Jeffrey Rc","Magnus Pd",1
"Jeffrey Rc","Intemann K",2
"Skyrms B","Huttegger Sm",2
"Skyrms B","Armendt B",4
"Skyrms B","Leitgeb H",4
"Skyrms B","Kitcher P",1
"Skyrms B","Sobel Jh",1
"Skyrms B","Vanfraassen Bc",1
"Skyrms B","Weisberg M",1
"Skyrms B","Brown Pm",1
"Skyrms B","Skyrms B",2
"Skyrms B","Potochnik A",2
"Skyrms B","Shimony A",1
"Skyrms B","Garber D",1
"Skyrms B","Hacking I",4
"Skyrms B","Zabell Sl",2
"Skyrms B","Easwaran K",2
"Skyrms B","Rosenkrantz Rd",1
"Skyrms B","Alexander Jm",1
"Skyrms B","Joyce Jm",3
"Skyrms B","Maher P",6
"Skyrms B","D'Arms J",3
"Skyrms B","Barrett Ja",1
"Skyrms B","Field H",1
"Easwaran K","Hacking I",1
"Easwaran K","Maher P",1
"Easwaran K","Armendt B",1
"Easwaran K","Leitgeb H",2
"Easwaran K","Joyce Jm",1
"Vanderschraaf P","Alexander Jm",1
"Fitzgerald P","Smith Q",1
"Leuridan B","Tabery Jg",1
"Leuridan B","Machamer P",1
"Leuridan B","Mitchell Sd",2
"Cordero A","Forster Mr",1
"Cordero A","Stone Ad",1
"Cordero A","Chang Hs",1
"Cordero A","Fahrbach L",1
"Cordero A","Maudlin T",1
"Barr Wf","Kim J",1
"Barr Wf","Jobe Ek",1
"Barr Wf","Keuth H",2
"Barr Wf","Ackermann R",2
"Barr Wf","Lauter Ha",1
"Barr Wf","Kaplan D",1
"Barr Wf","Barr Wf",1
"Bandyopadhyay Ps","Bandyopadhayay Ps",1
"Bandyopadhyay Ps","Mulaik Sa",1
"Gillies D","Maher P",2
"Gillies D","Wayne A",2
"Gillies D","Myrvold Wc",1
"Gillies D","Fitelson B",3
"Gillies D","Milne P",2
"Spencer Q","Pigliucci M",1
"Spencer Q","Root M",1
"D'Arms J","Huttegger Sm",1
"D'Arms J","Alexander Jm",2
"Keller Ef","Da Costa N",1
"Bechtel W","Chemero A",1
"Bechtel W","Thagard P",1
"Bechtel W","Keeley Bl",3
"Bechtel W","Kitcher P",1
"Bechtel W","Machamer P",7
"Bechtel W","Polger Tw",1
"Bechtel W","Solomon M",1
"Bechtel W","Sterelny K",1
"Bechtel W","Love Ac",1
"Bechtel W","Bickle J",1
"Bechtel W","Wilson Ra",1
"Bechtel W","Kincaid H",1
"Bechtel W","Schaffner Kf",4
"Bechtel W","Fodor J",1
"Bechtel W","Rosenberg A",1
"Bechtel W","Kaplan Dm",1
"Walton D","Mitchell Sd",1
"Walton D","Waters Ck",1
"Walton D","Brandon Rn",1
"Mundy B","Mundy B",1
"Mundy B","Manders Kl",3
"Mundy B","Catton P",2
"Leeds S","Friedman Ks",1
"Leeds S","Hemmo M",1
"Leeds S","Batterman Rw",1
"Leeds S","Malament Db",1
"Leeds S","Maudlin T",1
"Klein C","Kitcher P",1
"Douglas He","De Regt Hw",2
"Douglas He","Chemero A",1
"Douglas He","Trout Jd",2
"Douglas He","Bogen J",1
"Douglas He","Mitchell Sd",1
"Douglas He","Machamer P",3
"Ankeny Ra","Schaffner Kf",2
"Filler J","Stephens C",2
"Filler J","Brandon Rn",1
"Tabery Jg","Thagard P",1
"Tabery Jg","Machamer P",6
"Tabery Jg","Woodward J",2
"Tabery Jg","Mitchell Sd",2
"Abrams M","Waters Ck",1
"Abrams M","Woodward J",1
"Abrams M","Brandon R",1
"Abrams M","Stephens C",2
"Abrams M","Walsh Dm",4
"Hacking I","Dequeiroz K",1
"Hacking I","Armendt B",3
"Hacking I","Joyce Jm",1
"Hacking I","Field H",1
"Hacking I","Maher P",2
"Hacking I","Leitgeb H",2
"Hacking I","Shapere D",2
"Hacking I","Shimony A",1
"Gale G","Kordig Cr",1
"Gilbert Sf","Wimsatt Wc",1
"Gilbert Sf","Schaffner Kf",1
"Dorling J","Siegel H",1
"Dorling J","Maxwell N",2
"Psillos S","Chang Hs",1
"Psillos S","Snyder Lj",1
"Psillos S","Niiniluoto I",1
"Psillos S","Nola R",1
"Psillos S","Stanford Pk",1
"Psillos S","Mcmullin E",1
"Psillos S","Magnus Pd",1
"Stemmer N","Kim J",1
"Stemmer N","Brody Ba",1
"Mackinnon E","Mcmullin E",2
"Mackinnon E","Shraderfrechette K",2
"Mackinnon E","Mackinnon E",1
"Hudson Rg","Magnus Pd",1
"Hudson Rg","Culp S",1
"Hudson Rg","Staley Kw",2
"Lugg A","Fisch M",1
"Lugg A","Waters Ck",1
"Lugg A","Schagrin Ml",1
"Lugg A","Grimes Tr",1
"Lugg A","Gemes K",1
"Kaplan M","Bolker Ed",1
"Forster Mr","Norton Jd",1
"Forster Mr","Chang Hs",1
"Forster Mr","Kitcher P",1
"Forster Mr","Miyake T",1
"Forster Mr","Myrvold Wc",1
"Forster Mr","Fahrbach L",1
"Forster Mr","Magnus Pd",1
"Forster Mr","Barrett Ja",1
"Pigliucci M","Root M",4
"Pigliucci M","Barker Mj",1
"Vandewall H","Hendry Rf",1
"Hochberg H","Cartwright Rl",1
"Hochberg H","Woller R",1
"Sterelny K","Sarkar S",2
"Sterelny K","Okasha S",1
"Sterelny K","Lloyd Ea",1
"Sterelny K","Waters Ck",1
"Sterelny K","Wilson Ra",1
"Sterelny K","Rosenberg A",1
"Sterelny K","Griffiths Pe",1
"Sterelny K","Love Ac",1
"Sterelny K","Amundson R",1
"Leplin J","Giere Rn",1
"Leplin J","Rosenberg A",1
"Leplin J","Shapere D",6
"Thompson Jw","Shapere D",1
"Kincaid H","Hardcastle Vg",1
"Kincaid H","Tuomela R",1
"Kincaid H","Robinson Jd",2
"Kincaid H","Machamer P",1
"Kincaid H","Vance Re",1
"Kincaid H","Rosenberg A",1
"Kincaid H","Bickle J",1
"Kincaid H","Wimsatt Wc",1
"Kincaid H","Schaffner Kf",3
"Kincaid H","Muller Fa",1
"Kincaid H","Ross D",1
"Glymour C","Waters Ck",2
"Glymour C","Kitcher P",1
"Glymour C","Gemes K",1
"Glymour C","Simon Ha",1
"Glymour C","Rozeboom Ww",2
"Glymour C","Grimes Tr",1
"Glymour C","Vanfraasbc",1
"Glymour C","Jobe Ek",1
"Glymour C","Schaffner Kf",1
"Glymour C","Lloyd Ea",1
"Glymour C","Cupples B",2
"Glymour C","Zytkow Jm",5
"Glymour C","Norton Jd",1
"Glymour C","Earman J",2
"Glymour C","Kaplan D",1
"Glymour C","Glymour C",1
"Norton Jd","Morrison M",3
"Norton Jd","Miyake T",1
"Norton Jd","Kadane Jb",1
"Norton Jd","Machamer P",1
"Norton Jd","Mcallister Jw",2
"Norton Jd","Hellman G",1
"Norton Jd","Gendler Ts",2
"Norton Jd","Norton Jd",4
"Norton Jd","Maher P",1
"Norton Jd","Bangu S",1
"Norton Jd","Malament Db",1
"Burian Rm","Laymon R",1
"Burian Rm","Munson R",1
"Fodor J","Fodor Ja",6
"Fodor J","Greenwood Jd",1
"Schwartz Ph","Hausman Dm",1
"Schwartz Ph","Boorse C",2
"Nelson Rj","Heffernan Jd",1
"Butts Re","Butts Re",1
"Butts Re","Hempel Cg",1
"Curiel E","Mattingly J",1
"Tornebohm H","Kim J",1
"Tornebohm H","Ackermann R",2
"Tornebohm H","Kaplan D",1
"Mccall S","Niiniluoto I",1
"Van Fraassen Bc","Bedard K",1
"Van Fraassen Bc","Stone Ad",1
"Robinson Jd","Schaffner Kf",1
"Nowak L","Wayne A",1
"Nowak L","Kitcher P",1
"Nowak L","Potochnik A",1
"Beauregard La","Grunbaum A",1
"Brandon Rn","Glymour B",5
"Brandon Rn","Waters Ck",2
"Brandon Rn","Skipper Ra",2
"Brandon Rn","Kitcher P",1
"Brandon Rn","Horan Bl",6
"Brandon Rn","Machamer P",2
"Brandon Rn","Wimsatt Wc",1
"Brandon Rn","Schaffner Kf",2
"Brandon Rn","Woodward J",2
"Brandon Rn","Mitchell Sd",5
"Brandon Rn","Vanfraasbc",1
"Brandon Rn","Stephens C",3
"Brandon Rn","Stamos Dn",4
"Brandon Rn","Batterman Rw",1
"Brandon Rn","Lloyd Ea",1
"Brandon Rn","Rosenberg A",3
"Brandon Rn","Dietrich Mr",2
"Brandon Rn","Graves L",8
"Brandon Rn","Brandon R",1
"Brandon Rn","Amundson R",1
"Brandon Rn","Walsh Dm",3
"Intemann K","Brown Mj",2
"Intemann K","Magnus Pd",2
"Intemann K","Steel D",4
"Intemann K","Intemann K",1
"Vanfraasbc","Laymon R",2
"Vanfraasbc","Heelan Pa",1
"Vanfraasbc","Kitcher P",1
"Vanfraasbc","Machamer P",1
"Vanfraasbc","Williams Mb",1
"Vanfraasbc","Grunbaum A",1
"Vanfraasbc","Munson R",2
"Vanfraasbc","Schaffner Kf",1
"Vanfraasbc","Lloyd Ea",1
"Vanfraasbc","Vanfraassen Bc",1
"Vanfraasbc","Rosenberg A",1
"Vanfraasbc","Dacosta Nca",2
"Vanfraasbc","Salmon Wc",1
"Alston Wp","Kim J",1
"Alston Wp","Jobe Ek",1
"Alston Wp","Thorpe Da",1
"Alston Wp","Morgan Cg",3
"Alston Wp","Wicken Js",1
"Alston Wp","Ackermann R",2
"Alston Wp","Kitcher P",1
"Alston Wp","Woodward J",1
"Alston Wp","Miettinesk",1
"Alston Wp","Kaplan D",1
"Vanfraassen Bc","Garber D",1
"Vanfraassen Bc","Field H",1
"Vanfraassen Bc","Armendt B",1
"Vanfraassen Bc","Heelan Pa",1
"Corcoran J","Thagard P",1
"Nissen L","Ringen Jd",1
"Nissen L","Porpora Dv",1
"Stegmann Ue","Griffiths Pe",4
"Stegmann Ue","Jablonka E",2
"Salmon Wc","Rietdijk Cw",2
"Salmon Wc","Rosen Da",2
"Salmon Wc","Stein H",2
"Salmon Wc","Kitcher P",3
"Salmon Wc","Coffa Ja",1
"Salmon Wc","Machamer P",3
"Salmon Wc","Bigelow J",2
"Salmon Wc","Kyburg He",2
"Salmon Wc","Williams Mb",1
"Salmon Wc","Grunbaum A",4
"Salmon Wc","Jackson F",1
"Salmon Wc","Hitchcock Cr",8
"Salmon Wc","Koertge N",1
"Salmon Wc","Hempel Cg",1
"Salmon Wc","Railton P",3
"Salmon Wc","Fetzer Jh",1
"Salmon Wc","Glennan Ss",2
"Salmon Wc","Menzies P",2
"Salmon Wc","Trout Jd",1
"Salmon Wc","Giannoni C",1
"Salmon Wc","Wimsatt Wc",1
"Salmon Wc","Maxwell N",3
"Salmon Wc","Jones T",2
"Salmon Wc","Salmon Wc",7
"Salmon Wc","Angel Rb",1
"Boyd R","Kitcher P",1
"Walsh Dm","Skipper Ra",1
"Walsh Dm","Waters Ck",6
"Walsh Dm","Woodward J",2
"Walsh Dm","Bigelow J",1
"Walsh Dm","Brandon R",3
"Walsh Dm","Wilson Ra",1
"Walsh Dm","Lloyd Ea",1
"Walsh Dm","Rosenberg A",1
"Walsh Dm","Graves L",1
"Walsh Dm","Stephens C",17
"Walsh Dm","Walsh Dm",7
"Longino He","Kitcher P",2
"Longino He","Longino He",1
"Wayne A","Staley Kw",1
"Wayne A","Myrvold Wc",5
"Wayne A","Kitcher P",1
"Wayne A","Potochnik A",1
"Wayne A","Milne P",1
"Wayne A","Maher P",3
"Wayne A","Fitelson B",7
"Buck Rc","Grunbaum A",5
"Buck Rc","Buck Rc",2
"Buck Rc","Romanos Gd",3
"Luce Rd","Simon Ha",1
"Luce Rd","Causey Rl",2
"Luce Rd","Luce Rd",1
"Polger Tw","Wilson Ra",1
"Polger Tw","Morton P",1
"Polger Tw","Kitcher P",1
"Polger Tw","Machamer P",1
"Alexander Jm","Weisberg M",1
"Alexander Jm","Griffiths Pe",1
"Hesslow G","Collier J",1
"Hesslow G","Simon Ha",1
"Hesslow G","Mulaik Sa",1
"Hesslow G","Rosen Da",5
"Hesslow G","Machamer P",1
"Vickers P","Newman M",1
"Vickers P","Kitcher P",1
"Stamos Dn","Rosenberg A",2
"Stamos Dn","Glymour B",4
"Stamos Dn","Horan Bl",2
"Stamos Dn","Dietrich Mr",1
"Stamos Dn","Graves L",5
"Stamos Dn","Skipper Ra",1
"Okasha S","Potochnik A",1
"Okasha S","Justus J",1
"Okasha S","Wilson Ra",1
"Romanos Gd","Grunbaum A",2
"Schlegel R","Bunge M",1
"Dacosta Nca","Da Costa N",1
"Dacosta Nca","Hughes Rig",2
"Da Costa N","Giere Rn",1
"Da Costa N","Suarez M",1
"Da Costa N","Plutynski A",1
"Rietdijk Cw","Rietdijk Cw",4
"Rietdijk Cw","Stein H",4
"Rietdijk Cw","Maxwell N",12
"Foss J","Hanson Pp",1
"Foss J","Muller Fa",1
"Foss J","Bourgeois W",1
"Wassermann Gd","Sintonen M",1
"Wassermann Gd","Recker Da",1
"Brigandt I","Griffiths Pe",2
"Brigandt I","Neander K",1
"Brigandt I","Waters Ck",1
"Manders Kl","Catton P",1
"Brodbeck M","Barrett R",1
"Brodbeck M","Schefflei",1
"Brodbeck M","Brodbeck M",1
"Brodbeck M","Kordig Cr",1
"Brodbeck M","Bergmann G",1
"Brown Pm","Giere Rn",1
"Brown Pm","Armendt B",1
"Brown Pm","Maher P",2
"Brown Pm","Leitgeb H",1
"Griffiths Pe","Neander K",6
"Griffiths Pe","Jablonka E",4
"Griffiths Pe","Machamer P",1
"Griffiths Pe","Weisberg M",1
"Griffiths Pe","Griffiths Pe",4
"Griffiths Pe","Schaffner Kf",1
"Griffiths Pe","Millikan Rg",1
"Griffiths Pe","Rosenberg A",1
"Griffiths Pe","Amundson R",1
"Lipton P","Horan Bl",1
"Lipton P","Franklin A",2
"Neander K","Kitcher P",1
"Neander K","Machamer P",1
"Neander K","Brandon R",1
"Neander K","Ruse Me",1
"Neander K","Helgeson C",1
"Neander K","Boorse C",2
"Neander K","Stanford Pk",1
"Neander K","Rosenberg A",1
"Neander K","Caws P",1
"Neander K","Millikan Rg",7
"Neander K","Nanay B",1
"Neander K","Slater Mh",1
"Munson R","Ruse Me",3
"Munson R","Williams Mb",2
"Munson R","Munson R",2
"Jackson F","Jackson F",1
"Jackson F","Giannoni C",1
"Jackson F","Clendinnfj",3
"Jackson F","Clendinnen Fj",4
"Suppes P","Gibbins P",1
"Suppes P","Jammer M",1
"Grimes Tr","Fisch M",1
"Grimes Tr","Waters Ck",1
"Grimes Tr","Gemes K",2
"Gibbins P","Jammer M",1
"Hausman Dm","Boorse C",2
"Caws P","Brandon R",1
"Kadane Jb","Hellman G",1
"Kadane Jb","Maher P",1
"Maxwell N","Stein H",8
"Maxwell N","Feyerabend Pk",2
"Maxwell N","Siegel H",2
"Maxwell N","Maxwell N",9
"De Regt Hw","De Regt Hw",1
"De Regt Hw","Machamer P",2
"De Regt Hw","Trout Jd",4
"Hendry Rf","Kitcher P",1
"Hendry Rf","Slater Mh",1
"Bird A","Reisch Ga",1
"Wicken Js","Kitcher P",1
"Wicken Js","Jobe Ek",1
"Wicken Js","Woodward J",1
"Muldoon R","Giere Rn",1
"Muldoon R","Weisberg M",5
"Muldoon R","Fitelson B",1
"Muldoon R","Staley Kw",2
"Pinnick Cl","Solomon M",1
"Gendler Ts","Mcallister Jw",1
"Moss L","Piotrowska M",1
"Wheeler Gr","Morrison M",1
"Ringen J","Ringen Jd",1
"Ringen J","Millikan Rg",1
"Ringen J","Ruse Me",1
"Ringen J","Porpora Dv",1
"Campbell Dt","Siegel H",1
"Campbell Dt","Kordig Cr",1
"Zytkow Jm","Waters Ck",1
"Zytkow Jm","Earman J",3
"Zytkow Jm","Lloyd Ea",1
"Ross D","Muller Fa",1
"Stidd Bm","Thompson P",1
"Magnus Pd","Brown Mj",1
"Magnus Pd","Kitcher P",1
"Magnus Pd","Barrett Ja",1
"Magnus Pd","Staley Kw",1
"Magnus Pd","Steel D",2
"Stephens C","Skipper Ra",1
"Stephens C","Waters Ck",2
"Stephens C","Woodward J",1
"Stephens C","Bigelow J",1
"Stephens C","Rosenberg A",1
"Stephens C","Brandon R",2
"Stephens C","Graves L",1
"Stephens C","Stephens C",1
"Stephens C","Machamer P",1
"Trout Jd","Kitcher P",2
"Trout Jd","Machamer P",3
"Trout Jd","Solomon M",1
"Trout Jd","Kukla A",1
"Trout Jd","Williams Mb",1
"Trout Jd","Trout Jd",1
"Trout Jd","Angel Rb",1
"Winsberg E","Winsberg E",3
"Winsberg E","Lloyd Ea",1
"Winsberg E","Weisberg M",2
"Winsberg E","Fitelson B",1
"Thagard P","Boorse C",1
"Thagard P","Machamer P",4
"Thagard P","Woodward J",1
"Newman M","Kitcher P",1
"Bogen J","Woodward J",1
"Bogen J","Machamer P",1
"Bogen J","Chemero A",1
"Cornman Jw","Cornman Jw",1
"Cornman Jw","Machamer Pk",2
"Lewis D","Spielman S",1
"Gelfert A","Batterman Rw",1
"Gelfert A","Belot G",1
"Gelfert A","Woodward J",1
"Williams Mb","Kitcher P",1
"Williams Mb","Machamer P",1
"Williams Mb","Rosenberg A",2
"Williams Mb","Brandon R",1
"Williams Mb","Splitter Lj",1
"Williams Mb","Angel Rb",1
"Cortes A","Barnette Rl",3
"Cortes A","Ginsberg A",1
"Millikan Rg","Boorse C",1
"Millikan Rg","Kitcher P",1
"Millikan Rg","Slater Mh",1
"Millikan Rg","Stanford Pk",1
"Millikan Rg","Ringen Jd",1
"Millikan Rg","Rosenberg A",1
"Millikan Rg","Ruse Me",1
"Millikan Rg","Porpora Dv",1
"Millikan Rg","Machamer P",1
"Clendinnen Fj","Clendinnfj",2
"Spanos A","Sprenger J",1
"Spanos A","Staley Kw",1
"Schaffner Kf","Belot G",1
"Schaffner Kf","Kitcher P",5
"Schaffner Kf","Machamer P",3
"Schaffner Kf","Nelson A",1
"Schaffner Kf","Bangu S",1
"Schaffner Kf","Miller Rw",1
"Schaffner Kf","Bunge M",1
"Schaffner Kf","Bickle J",1
"Schaffner Kf","Waters Ck",1
"Schaffner Kf","Goodman N",1
"Schaffner Kf","Rosenberg A",2
"Schaffner Kf","Mccauley Rn",1
"Schaffner Kf","Wimsatt Wc",3
"Schaffner Kf","Ackermann R",1
"Railton P","Fetzer Jh",3
"Railton P","Woodward J",1
"Railton P","Hempel Cg",2
"Railton P","Kitcher P",1
"Railton P","Glennan Ss",1
"Railton P","Machamer P",1
"Railton P","Coffa Ja",1
"Fetzer Jh","Hempel Cg",3
"Fetzer Jh","Fetzer Jh",1
"Fetzer Jh","Coffa Ja",1
"Crupi V","Hawthorne J",3
"Crupi V","Maher P",1
"Crupi V","Milne P",5
"Crupi V","Huber F",5
"Crupi V","Finch Ha",1
"Crupi V","Myrvold Wc",2
"Crupi V","Fitelson B",14
"Crupi V","Crupi V",2
"Fodor Ja","Greenwood Jd",1
"Simon Ha","Simon Ha",1
"Simon Ha","Mulaik Sa",1
"Simon Ha","Rosen Da",1
"Muller Fa","Mcmullin E",1
"Muller Fa","Shapere D",1
"Muller Fa","Vollmer S",1
"Amundson R","Lloyd Ea",1
"Amundson R","Rosenberg A",1
"Amundson R","Horan Bl",1
"Amundson R","Wilson Ra",1
"Doring F","Garber D",1
"Doring F","Field H",2
"Doring F","Joyce Jm",1
"Skipper Ra","Glymour B",1
"Skipper Ra","Machamer P",1
"Skipper Ra","Horan Bl",1
"Skipper Ra","Dietrich Mr",2
"Skipper Ra","Graves L",2
"Barker Mj","Velasco Jd",1
"Barker Mj","Nanay B",1
"Barker Mj","Kitcher P",1
"Thorpe Da","Kim J",2
"Thorpe Da","Brody Ba",1
"Thorpe Da","Morgan Cg",5
"Thorpe Da","Miettinesk",2
"Thorpe Da","Ackermann R",4
"Thorpe Da","Kaplan D",3
"Moor Jh","Cupples B",1
"Moor Jh","Kaplan D",1
"Moor Jh","Schlesinger G",1
"Chen X","Shapere D",1
"Sprenger J","Seidenfeld T",1
"Coffa Ja","Hempel Cg",1
"Kulvicki J","Lennox Jg",1
"Kulvicki J","Dennett Dc",1
"Kyburg He","Kyburg He",1
"Kaiser M","Rosenberg A",1
"Kaiser M","Resnik Db",1
"Kaiser M","Laudan R",1
"Grunbaum A","Giere Rn",1
"Grunbaum A","Stein H",1
"Grunbaum A","Earman J",1
"Grunbaum A","Grunbaum A",3
"Grunbaum A","Greenwood Jd",1
"Rozeboom Ww","Rozeboom Ww",8
"Rozeboom Ww","Ackermann R",1
"Foss L","Hoy Rc",1
"Potochnik A","Kitcher P",4
"Potochnik A","Machamer P",1
"Potochnik A","Potochnik A",1
"Potochnik A","Kaplan Dm",1
"Potochnik A","Weisberg M",2
"Garber D","Shafer G",1
"Garber D","Field H",4
"Garber D","Armendt B",1
"Brewer Wf","Shapere D",1
"Brewer Wf","Culp S",1
"Brewer Wf","Chalmers A",1
