"ID","betweenness","info","count","community"
"Griesemer J",0.003,"Griesemer J",8,8
"Weston T",0.0,"Weston T",1,16
"Darden L",0.011,"Darden L",25,11
"Bradley R",0.0,"Bradley R",2,6
"Boyd R",0.0,"Boyd R",1,8
"Hoy Rc",0.0,"Hoy Rc",2,19
"Domski M",0.0,"Domski M",1,47
"Tabery Jg",0.0,"Tabery Jg",7,11
"Bigelow J",0.001,"Bigelow J",4,7
"Stanford Pk",0.003,"Stanford Pk",10,8
"Domotor Z",0.0,"Domotor Z",1,6
"Leonard Hs",0.0,"Leonard Hs",3,25
"Gilbert Sf",0.0,"Gilbert Sf",1,11
"Enc B",0.001,"Enc B",4,0
"Curiel E",0.0,"Curiel E",4,48
"Thompson Jw",0.0,"Thompson Jw",1,16
"Frankel H",0.0,"Frankel H",3,49
"Dietrich Mr",0.0,"Dietrich Mr",2,26
"Brown Pm",0.001,"Brown Pm",3,6
"Hilpinen R",0.0,"Hilpinen R",1,43
"Laudan L",0.074,"Laudan L",63,16
"Kekes J",0.0,"Kekes J",1,50
"Weber M",0.0,"Weber M",9,26
"North J",0.0,"North J",1,51
"Simon Ha",0.003,"Simon Ha",5,1
"Santana C",0.0,"Santana C",1,52
"Bandyopadhayay Ps",0.0,"Bandyopadhayay Ps",2,1
"Hochberg H",0.0,"Hochberg H",2,49
"Ruetsche L",0.006,"Ruetsche L",8,14
"Koertge N",0.004,"Koertge N",2,7
"Wassermann Gd",0.0,"Wassermann Gd",1,8
"Grimes Tr",0.0,"Grimes Tr",2,1
"Nelson Rj",0.0,"Nelson Rj",2,53
"Thomson-Jones M",0.0,"Thomson-Jones M",2,3
"Nelson A",0.0,"Nelson A",2,8
"Stevensocl",0.0,"Stevensocl",1,54
"Humphreys P",0.014,"Humphreys P",19,3
"Mundy B",0.0,"Mundy B",3,64
"Howard D",0.0,"Howard D",2,55
"Mcknight Jl",0.0,"Mcknight Jl",7,27
"Hudson Rg",0.0,"Hudson Rg",2,3
"Urbach P",0.002,"Urbach P",4,3
"Lewis D",0.0,"Lewis D",3,42
"Rohwer Y",0.0,"Rohwer Y",1,11
"Bangu S",0.0,"Bangu S",3,3
"Silberstein M",0.0,"Silberstein M",1,11
"Rohrlich F",0.001,"Rohrlich F",3,3
"Elliott Kc",0.001,"Elliott Kc",5,9
"Sober E",0.09,"Sober E",102,8
"Schaffer J",0.0,"Schaffer J",1,11
"Kordig Cr",0.011,"Kordig Cr",6,32
"Williams Mb",0.002,"Williams Mb",7,26
"Alexander Jm",0.001,"Alexander Jm",5,6
"Blachowicz J",0.0,"Blachowicz J",1,6
"Dretske Fi",0.006,"Dretske Fi",14,8
"Kent W",0.0,"Kent W",1,8
"Herron T",0.0,"Herron T",1,56
"Milne P",0.002,"Milne P",13,6
"Butts Re",0.0,"Butts Re",4,7
"Durand L",0.0,"Durand L",3,27
"Harper W",0.0,"Harper W",2,84
"Perini L",0.007,"Perini L",5,1
"Stairs A",0.0,"Stairs A",4,27
"Norton J",0.0,"Norton J",1,3
"Kadane Jb",0.0,"Kadane Jb",2,6
"Brewer Wf",0.0,"Brewer Wf",1,3
"Von Eckardt B",0.0,"Von Eckardt B",1,11
"Cocchiarella N",0.0,"Cocchiarella N",2,8
"Gasper P",0.0,"Gasper P",1,8
"Doring F",0.0,"Doring F",2,6
"Wilson F",0.0,"Wilson F",1,49
"Fodor Ja",0.0,"Fodor Ja",6,45
"Gardenfors P",0.0,"Gardenfors P",1,7
"Utz S",0.0,"Utz S",1,58
"Rothstein J",0.0,"Rothstein J",2,59
"Carey S",0.0,"Carey S",1,9
"Stotz K",0.0,"Stotz K",2,8
"Whitbeck C",0.0,"Whitbeck C",1,60
"Votsis I",0.0,"Votsis I",2,16
"Salmon Wc",0.043,"Salmon Wc",40,7
"Heelan Pa",0.0,"Heelan Pa",1,14
"Malament Db",0.002,"Malament Db",9,3
"Saatsi J",0.0,"Saatsi J",1,8
"Fahrbach L",0.0,"Fahrbach L",1,16
"Gardner Mr",0.003,"Gardner Mr",6,14
"Reisman K",0.002,"Reisman K",10,26
"Otte R",0.0,"Otte R",4,1
"Schwartz J",0.0,"Schwartz J",2,62
"Wimsatt Wc",0.005,"Wimsatt Wc",9,11
"Leeds S",0.011,"Leeds S",10,3
"Nissen L",0.0,"Nissen L",1,0
"Slater Mh",0.0,"Slater Mh",2,8
"Zollman Kjs",0.002,"Zollman Kjs",6,6
"Nute D",0.0,"Nute D",1,63
"Wagner Cg",0.001,"Wagner Cg",6,6
"Lavis Da",0.0,"Lavis Da",1,3
"Smith Jw",0.0,"Smith Jw",3,49
"Chalmers A",0.001,"Chalmers A",3,3
"Huggett N",0.001,"Huggett N",6,14
"Ringen J",0.0,"Ringen J",1,0
"Eells E",0.007,"Eells E",23,1
"Bolker Ed",0.0,"Bolker Ed",4,9
"Leonelli S",0.0,"Leonelli S",1,14
"Girill Tr",0.0,"Girill Tr",2,3
"Jones T",0.0,"Jones T",1,7
"Marley Aaj",0.0,"Marley Aaj",1,65
"Hughes Rig",0.003,"Hughes Rig",7,14
"Shapere D",0.007,"Shapere D",32,16
"Walsh Ht",0.0,"Walsh Ht",1,66
"Railton P",0.006,"Railton P",8,7
"Krause Ms",0.0,"Krause Ms",1,67
"Mallon R",0.001,"Mallon R",2,8
"Greenwood Jd",0.002,"Greenwood Jd",5,45
"Teller P",0.008,"Teller P",12,27
"Wolfson Rj",0.0,"Wolfson Rj",1,14
"Stern C",0.0,"Stern C",1,68
"Rudner R",0.001,"Rudner R",6,4
"Barrett R",0.0,"Barrett R",1,32
"Agassi J",0.0,"Agassi J",1,3
"Cushing Jt",0.0,"Cushing Jt",4,16
"Lacey Hm",0.0,"Lacey Hm",2,7
"Handy R",0.0,"Handy R",1,121
"Klein C",0.002,"Klein C",2,8
"Cunningham B",0.0,"Cunningham B",1,69
"Lauter Ha",0.0,"Lauter Ha",2,4
"Schoeman F",0.0,"Schoeman F",1,70
"Vollmer S",0.0,"Vollmer S",1,16
"Pigliucci M",0.003,"Pigliucci M",5,8
"Barros Db",0.0,"Barros Db",2,11
"Cartwright N",0.005,"Cartwright N",4,14
"Muller Fa",0.006,"Muller Fa",6,16
"Resnik Db",0.0,"Resnik Db",1,16
"Bovens L",0.0,"Bovens L",2,6
"Skipper Ra",0.0,"Skipper Ra",4,26
"Boland La",0.0,"Boland La",1,71
"Melnyk A",0.0,"Melnyk A",1,68
"Cooper G",0.0,"Cooper G",2,8
"Kitchener Rf",0.0,"Kitchener Rf",1,72
"De Langhey R",0.0,"De Langhey R",2,6
"Falmagne Jc",0.0,"Falmagne Jc",1,73
"Ghiselin Mt",0.0,"Ghiselin Mt",1,74
"Wilks Y",0.0,"Wilks Y",1,75
"Hagar A",0.0,"Hagar A",1,76
"Tuomela R",0.0,"Tuomela R",1,11
"Downes Sm",0.0,"Downes Sm",1,9
"Eberhardt F",0.0,"Eberhardt F",1,11
"Intemann K",0.0,"Intemann K",3,9
"Rueger A",0.0,"Rueger A",1,3
"Brandon Rn",0.007,"Brandon Rn",24,26
"Spielman S",0.0,"Spielman S",3,42
"Stegenga J",0.0,"Stegenga J",1,3
"Griffiths Pe",0.008,"Griffiths Pe",21,0
"Brown Hi",0.0,"Brown Hi",2,78
"Sesardic N",0.0,"Sesardic N",3,79
"Jobe Ek",0.005,"Jobe Ek",8,4
"Hockney D",0.0,"Hockney D",1,80
"Kitcher P",0.092,"Kitcher P",78,8
"Kegley Cw",0.0,"Kegley Cw",1,100
"Lange M",0.0,"Lange M",1,6
"Hentschel K",0.0,"Hentschel K",1,81
"Graves L",0.0,"Graves L",11,26
"Douglas H",0.005,"Douglas H",12,9
"Lehman H",0.002,"Lehman H",8,8
"Bandyopadhyay Ps",0.0,"Bandyopadhyay Ps",1,1
"Erwin E",0.0,"Erwin E",2,45
"Kaplan D",0.009,"Kaplan D",13,4
"Rynasiewicz R",0.002,"Rynasiewicz R",2,3
"Godfrey-Smith P",0.001,"Godfrey-Smith P",15,0
"Frigg R",0.002,"Frigg R",5,3
"Thagard P",0.006,"Thagard P",7,11
"Hesse M",0.0,"Hesse M",3,6
"Enfield P",0.0,"Enfield P",2,16
"Moss L",0.0,"Moss L",1,82
"Morton P",0.0,"Morton P",1,11
"Van Orden Gc",0.0,"Van Orden Gc",1,83
"Bokulich A",0.0,"Bokulich A",3,8
"Arageorgis A",0.0,"Arageorgis A",1,14
"Lloyd Ea",0.017,"Lloyd Ea",17,8
"Vanderburgh Wl",0.0,"Vanderburgh Wl",1,84
"Dequeiroz K",0.0,"Dequeiroz K",1,6
"Andreasen Ro",0.0,"Andreasen Ro",1,8
"De Vignemont F",0.0,"De Vignemont F",1,85
"Worrall J",0.001,"Worrall J",2,16
"Neander K",0.015,"Neander K",16,0
"Schefflei",0.002,"Schefflei",3,32
"Harre R",0.0,"Harre R",1,49
"Machamer P",0.037,"Machamer P",60,11
"Kyburg He",0.001,"Kyburg He",3,9
"Angel Rb",0.0,"Angel Rb",2,6
"Achinstein P",0.006,"Achinstein P",12,3
"Spanos A",0.001,"Spanos A",5,6
"Good Ij",0.0,"Good Ij",3,6
"Needham P",0.0,"Needham P",4,86
"Janis Ai",0.0,"Janis Ai",2,7
"Richards Rj",0.0,"Richards Rj",1,87
"Arntzenius F",0.001,"Arntzenius F",2,3
"Giere Rn",0.044,"Giere Rn",25,9
"Sharp Wd",0.0,"Sharp Wd",2,27
"Seidenfeld T",0.0,"Seidenfeld T",6,6
"Meehl Pe",0.0,"Meehl Pe",5,4
"Haug Mc",0.0,"Haug Mc",3,26
"Vanfraasbc",0.026,"Vanfraasbc",16,14
"Moor Jh",0.0,"Moor Jh",2,4
"Keller Ef",0.0,"Keller Ef",1,9
"Bueno O",0.0,"Bueno O",2,14
"Dieks D",0.0,"Dieks D",2,7
"Lacey H",0.0,"Lacey H",2,9
"Coleman Ka",0.0,"Coleman Ka",1,8
"Thorpe Da",0.0,"Thorpe Da",3,4
"Callender C",0.0,"Callender C",1,3
"Schupbach Jn",0.0,"Schupbach Jn",3,6
"Juhl C",0.0,"Juhl C",2,9
"Wright L",0.002,"Wright L",11,0
"Foss L",0.0,"Foss L",2,19
"Hawthorne J",0.0,"Hawthorne J",5,6
"Barker Mj",0.001,"Barker Mj",4,8
"Jack H",0.0,"Jack H",2,49
"Svetlichny G",0.0,"Svetlichny G",1,89
"Bedard K",0.0,"Bedard K",2,14
"Justus J",0.0,"Justus J",1,8
"Frankel C",0.0,"Frankel C",1,90
"Temple D",0.0,"Temple D",2,9
"Levi I",0.008,"Levi I",16,9
"Dawid R",0.0,"Dawid R",1,102
"Oreskes N",0.0,"Oreskes N",1,3
"George Ra",0.0,"George Ra",1,92
"Endicott R",0.0,"Endicott R",2,3
"Miettinesk",0.0,"Miettinesk",2,4
"Levin Me",0.0,"Levin Me",3,68
"Newman Dv",0.001,"Newman Dv",3,3
"Dingle H",0.0,"Dingle H",1,93
"Hintikka J",0.0,"Hintikka J",1,94
"Coffa Ja",0.0,"Coffa Ja",1,7
"Bokulich P",0.0,"Bokulich P",1,95
"Uffink J",0.0,"Uffink J",1,8
"Musgrave A",0.0,"Musgrave A",1,96
"Fitelson B",0.012,"Fitelson B",33,6
"Gendler Ts",0.0,"Gendler Ts",2,3
"Ungar A",0.0,"Ungar A",1,7
"Ariew A",0.0,"Ariew A",1,11
"Bickle J",0.0,"Bickle J",1,11
"Davey K",0.0,"Davey K",2,3
"Piccinini G",0.0,"Piccinini G",2,97
"Minogue Bp",0.0,"Minogue Bp",2,14
"Kahane H",0.0,"Kahane H",2,98
"Tornebohm H",0.0,"Tornebohm H",1,4
"Muldoon R",0.0,"Muldoon R",4,3
"Nathan A",0.0,"Nathan A",1,99
"Sarkar S",0.0,"Sarkar S",6,0
"Kronz Fm",0.0,"Kronz Fm",5,3
"Harris T",0.0,"Harris T",2,3
"Mermin Nd",0.0,"Mermin Nd",1,27
"Greeno Jg",0.0,"Greeno Jg",2,101
"Grantham Ta",0.004,"Grantham Ta",3,26
"Erlichson H",0.0,"Erlichson H",1,14
"Doppelt G",0.002,"Doppelt G",7,16
"Merrill Gh",0.0,"Merrill Gh",5,14
"Woller R",0.0,"Woller R",1,49
"Krips H",0.0,"Krips H",1,103
"Parker Ws",0.003,"Parker Ws",5,3
"Van Dyck M",0.0,"Van Dyck M",1,104
"Contessa G",0.002,"Contessa G",2,3
"Mcevoy Jg",0.0,"Mcevoy Jg",1,14
"Schaffner Kf",0.026,"Schaffner Kf",40,11
"Zynda L",0.0,"Zynda L",1,6
"Horvath Cd",0.0,"Horvath Cd",1,11
"Stephens C",0.002,"Stephens C",16,26
"Narens L",0.0,"Narens L",1,105
"Hitchcock Cr",0.001,"Hitchcock Cr",6,7
"Delehanty M",0.0,"Delehanty M",1,1
"Burian Rm",0.0,"Burian Rm",3,14
"Millstein Rl",0.0,"Millstein Rl",7,26
"Vandewall H",0.0,"Vandewall H",1,8
"Swinburnrg",0.0,"Swinburnrg",1,4
"Koperski J",0.0,"Koperski J",1,106
"Smith Q",0.0,"Smith Q",4,33
"Healey R",0.001,"Healey R",8,3
"Boumans M",0.0,"Boumans M",1,3
"Myrvold Wc",0.002,"Myrvold Wc",14,6
"Dowe P",0.004,"Dowe P",19,7
"Schagrin Ml",0.0,"Schagrin Ml",3,1
"Shrader Dw",0.0,"Shrader Dw",1,7
"Machery E",0.0,"Machery E",8,8
"Renzi Bg",0.0,"Renzi Bg",1,107
"Vranas Pbm",0.002,"Vranas Pbm",6,3
"Bartha P",0.0,"Bartha P",1,108
"Stegmann Ue",0.0,"Stegmann Ue",3,0
"Vance Re",0.0,"Vance Re",2,11
"Roth Pa",0.0,"Roth Pa",1,32
"Suppes P",0.008,"Suppes P",7,27
"De Regt Hw",0.0,"De Regt Hw",3,11
"Culp S",0.0,"Culp S",4,3
"Schwartz Ph",0.0,"Schwartz Ph",2,0
"Da Costa N",0.002,"Da Costa N",3,9
"Kruse M",0.0,"Kruse M",1,8
"Schlesinger G",0.0,"Schlesinger G",1,4
"Causey Rl",0.0,"Causey Rl",3,4
"Pitt Jc",0.0,"Pitt Jc",1,8
"Suchting Wa",0.0,"Suchting Wa",1,109
"Vineberg S",0.0,"Vineberg S",1,110
"Emmerich Ds",0.0,"Emmerich Ds",1,111
"Sargent Rm",0.0,"Sargent Rm",1,7
"Kutach Dn",0.0,"Kutach Dn",1,7
"Kaiser M",0.0,"Kaiser M",1,16
"Gannett L",0.001,"Gannett L",3,8
"Churchland P",0.0,"Churchland P",2,112
"Graves Jc",0.0,"Graves Jc",1,113
"Vickers P",0.0,"Vickers P",1,16
"Kourany Ja",0.001,"Kourany Ja",8,9
"Hoefer C",0.003,"Hoefer C",7,3
"Edidin A",0.0,"Edidin A",6,14
"Feyerabend Pk",0.004,"Feyerabend Pk",3,27
"Harrah D",0.0,"Harrah D",2,25
"Ellson Dg",0.0,"Ellson Dg",1,20
"Hempel Cg",0.018,"Hempel Cg",13,7
"Root M",0.0,"Root M",7,8
"Puccetti R",0.0,"Puccetti R",1,32
"Ankeny Ra",0.0,"Ankeny Ra",4,11
"Steinle F",0.006,"Steinle F",4,3
"Huber F",0.0,"Huber F",4,6
"Kim S",0.0,"Kim S",4,11
"Dorling J",0.0,"Dorling J",2,7
"Nola R",0.0,"Nola R",2,16
"Forber P",0.0,"Forber P",2,26
"Sklar L",0.025,"Sklar L",15,3
"Schervish Mj",0.0,"Schervish Mj",1,114
"Campbell Dt",0.0,"Campbell Dt",1,32
"Mclaughlin R",0.0,"Mclaughlin R",2,7
"Wilson M",0.0,"Wilson M",1,115
"Mattingly J",0.0,"Mattingly J",1,48
"Porpora Dv",0.0,"Porpora Dv",2,0
"Clendinnen Fj",0.0,"Clendinnen Fj",4,7
"Potochnik A",0.002,"Potochnik A",8,8
"Frisch M",0.001,"Frisch M",4,9
"Caws P",0.011,"Caws P",4,27
